File_Name,Date,Time,Temp(F),Barometric_Pressure,Human,Coyote,Raccoon,Bunny,Beaver,Cat,Skunk,Unknown/Other,#_of_organisms,Activity(ies),First_Observers,Notes,Second_Observers
IMG_0013(2).JPG,5/21/2018,10:08PM,60,30.03,0,1,0,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0014(2).JPG,5/21/2018,10:08PM,60,30.03,0,1,0,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0015(2).JPG,5/21/2018,10:08PM,60,30.03,0,1,0,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0019(2).JPG,5/22/2018,8:59PM,62,30.18,0,1,0,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0022(2).JPG,5/23/2018,2:18AM,57,30.21,0,0,3,0,0,0,0,0,3,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0023(2).JPG,5/23/2018,2:18AM,57,30.21,0,0,3,0,0,0,0,0,3,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0024(2).JPG,5/23/2018,2:18AM,57,30.21,0,0,2,0,0,0,0,0,2,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0025(2).JPG,5/23/2018,3:17AM,57,30.21,0,0,1,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0026(2).JPG,5/23/2018,3:17AM,57,30.21,0,0,1,0,0,0,0,0,1,walking,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
IMG_0027(2).JPG,5/23/2018,3:17AM,57,30.21,0,0,1,0,0,0,0,0,1,wiggling tail,"Nick Galloway, April Ann Fong, Fae Carpenter, Karon Rowe, Jess Ralph, Leigh Leonard, Sparrow Lattanzi, Raquel Salazar",,"April Ann Fong, Fae Carpenter, Eleni Kondilis, Aiden Javurek-Humig"
